old_name,new_name
006ad3e743b877a991463e0149f02e8c349a3c31.sql,q16-0000.sql
00c94dd90a4c2a4d798403119f2fe90effb73c47.sql,q16-0001.sql
0161ba1b7c5aa7a302824551b344993476b70bf6.sql,q16-0002.sql
0198823f5b4191b11348c0c6e63548a144d59a75.sql,q16-0003.sql
01f24002fd8a6ff76bbab239518cbcc9b4c727ec.sql,q16-0004.sql
020ef5a8c1d4d2efa4168a82b02c4673662a8442.sql,q16-0005.sql
0226dfe00e0581c1300863a109e7b904c7b061ae.sql,q16-0006.sql
02693b23810491ab438373838a82bde540fe29f2.sql,q16-0007.sql
02707ea88f898a8fa11cf8897e8c4d5fd046c2a7.sql,q16-0008.sql
02b5f790adb53aa22867725b09bbbb7c855b8ca3.sql,q16-0009.sql
02fe18d4cb3cc29a8ae572ce25b1db901572bfb0.sql,q16-0010.sql
03a085e1a527191e738a9f0d6d3548920c2b819d.sql,q16-0011.sql
03dbbf07b7ec7745ca544b81827752abadfbaea5.sql,q16-0012.sql
056c9a62c53eead2fb11652c06b0951969d39cf4.sql,q16-0013.sql
058a9f4262eba8f5f1fdfa2907553e8d2826d17e.sql,q16-0014.sql
061ba6556a33f48184cddc02f209dfb3248cf6f9.sql,q16-0015.sql
06315aafc88d8bf3cf5dd43dd452124b10ca5a26.sql,q16-0016.sql
0634dd72178f19e9805685206edf906a0c158f30.sql,q16-0017.sql
066fdfb7d818be840945674d59e04059fe0df234.sql,q16-0018.sql
06c4b8e9f1ed0222d4dbb4fda2ae74360998d06b.sql,q16-0019.sql
06d3d45a474ae506afd1f80044a40a34bf99f24f.sql,q16-0020.sql
0717904266d549f6a6cf20b5cff73be1b8e8a75e.sql,q16-0021.sql
073ae093135d915a580b4d7f1c75388b212c05c5.sql,q16-0022.sql
07a505c484ad846cca06847f09dabf41947a6167.sql,q16-0023.sql
07cf43f2978136fdeff23424b59e170115d232d8.sql,q16-0024.sql
07cfd10fe7a8a72bc99ca82881d340c918d06ff0.sql,q16-0025.sql
080bf091fc84cc21dc0e2a3ca0b6281ab76f82ed.sql,q16-0026.sql
08209c4d431c64a874ad87ecb5dc63442387760e.sql,q16-0027.sql
